operation,ID,verdor_id,name,official_name,OFFICIAL_WEBSITE,phone,DISTRICT,address,post_code,h_class,avg_waiting_time,avg_rating,created_at,uppdated_at,latitude,longitude,city,parent_id
√,36,H00001008,第九人民医院,上海交通大学医学院附属第九人民医院,http://www.9hospital.com.cn,021 23271699-5818,黄浦区,制造局路639号,200011,三级甲等,29,4.63,2013-11-29 下午06:59:36,2013-12-19 上午03:46:46,31.202928,121.485483,上海市,
√,38,H00001009,上海曙光医院(西院),上海中医药大学附属曙光医院(西院),http://www.sgyy.cn,021 53821650,卢湾区,普安路185号,200021,三级甲等,18,4.6,2013-11-29 下午06:59:37,2013-12-12 上午09:42:36,31.222542,121.478867,上海市,
√,39,H00001010,上海瑞金医院,上海交通大学医学院附属瑞金医院,http://www.rjh.com.cn,021 64370045,卢湾区,瑞金二路197号(永嘉路口),200025,三级甲等,48,4.37,2013-11-29 下午06:59:37,2014-10-24 上午08:38:50,31.211426,121.46602,上海市,
√,46,H00001012,上海市中山医院,复旦大学附属中山医院,http://www.zs-hospital.sh.cn,021 64041990,徐汇区,枫林路180号,200032,三级甲等,25,4.29,2013-11-29 下午06:59:40,2013-12-12 上午09:42:35,31.197947,121.454753,上海市,
√,50,H00001013,上海华山医院,复旦大学附属华山医院,http://www.huashan.org.cn,021 52889999,静安区,乌鲁木齐中路12号,200040,三级甲等,26,4.39,2013-11-29 下午06:59:42,2013-12-12 上午09:42:35,31.21622,121.444145,上海市,
√,57,H00001014,上海华东医院,上海复旦大学附属华东医院,http://www.huadonghospital.com,021 62483180,静安区,延安西路221号,200040,三级甲等,22,4.54,2013-11-29 下午06:59:44,2013-12-12 上午09:42:36,31.2014966,121.4023337,上海市,
√,59,H00001015,上海85医院,中国人民解放军第八五医院,http://www.sh85yy.com,021 81818585,长宁区,华山路1328号(近江苏路),200052,三级甲等,19,4.52,2013-11-29 下午06:59:45,2013-12-19 上午03:46:46,31.209028,121.432907,上海市,
√,61,H00001016,上海455医院,中国人民解放军第四五五医院,http://www.455hospital.cn,021 81815455,长宁区,淮海西路338号,200052,三级甲等,14,4.34,2013-11-29 下午06:59:45,2013-12-19 上午03:46:47,31.199525,121.428535,上海市,
√,64,H00001017,上海同济医院,同济大学附属同济医院,http://www.tongjihospital.com.cn,021 56051080,普陀区,新村路389号,200065,三级甲等,28,4.59,2013-11-29 下午06:59:47,2013-12-12 上午09:42:36,31.265955,121.431152,上海市,
√,67,H00001018,,上海市中医医院,http://szy.sh.cn/,021 56639828,闸北区,芷江中路274号,200071,三级甲等,39,4.37,2013-11-29 下午06:59:48,2013-12-12 上午09:42:36,31.259749,121.471156,上海市,
√,68,H00001019,上海市第十人民医院,同济大学附属第十人民医院,http://www.shdsyy.com.cn,021 66303643,闸北区,延长中路301号,200072,三级甲等,17,4.56,2013-11-29 下午06:59:48,2013-12-19 上午03:46:46,31.270883,121.453971,上海市,
√,69,H00001020,上海市第一人民医院(北院),上海交通大学附属第一人民医院(北院),http://www.firsthospital.cn,021 63240090,虹口区,海宁路100号,200080,三级甲等,18,4.38,2013-11-29 下午06:59:48,2013-12-19 上午03:46:46,31.253359,121.489277,上海市,
√,73,H00001021,上海411医院,中国人民解放军第四一一医院,http://www.411-hospital.com,4000089411,虹口区,东江湾路15号,200081,三级甲等,11,4.74,2013-11-29 下午06:59:50,2013-12-19 上午03:46:47,31.26542,121.480658,上海市,
√,74,H00001022,上海市中西医结合医院,上海中医药大学附属上海市中西医结合医院,http://www.stcmih.com,021 65415910,虹口区,保定路230号,200082,三级甲等,24,3.88,2013-11-29 下午06:59:50,2013-12-12 上午09:42:36,31.257478,121.510912,上海市,
√,75,H00001023,上海新华医院,上海交通大学医学附属新华医院,http://www.xinhuamed.com.cn,021 25078999,杨浦区,控江路1665号,200092,三级甲等,23,4.58,2013-11-29 下午06:59:51,2013-12-12 上午09:42:36,31.274534,121.516632,上海市,
√,77,H00001024,上海市第六人民医院,上海交通大学附属第六人民医院,http://www.6thhosp.com,021 64369181,徐汇区,宜山路600号,200233,三级甲等,19,4.61,2013-11-29 下午06:59:51,2013-12-19 上午03:46:47,31.1759541,121.4210569,上海市,
√,80,H00001025,上海长海医院,第二军医大学附属长海医院,http://chhospital.com.cn,021 31166666,杨浦区,长海路168号,200433,三级甲等,33,4.45,2013-11-29 下午06:59:52,2013-12-12 上午09:42:36,31.30966,121.527061,上海市,
√,81,H00001026,上海岳阳医院,上海中医药大学附属岳阳中西医结合医院,http://www.yueyangyy.com,021 65161782,虹口区,甘河路110号,200437,三级甲等,20,3.83,2013-11-29 下午06:59:53,2013-12-12 上午09:42:34,31.289165,121.488271,上海市,
√,82,H00001027,,复旦大学附属金山医院,http://www.jinshanhos.org.cn,021 34189990,金山区,龙航路1508号,200540,三级乙等,17,4.58,2013-11-29 下午06:59:53,2013-12-12 上午09:42:36,30.75563,121.329758,上海市,
√,83,H00001028,上海龙华医院,上海中医药大学附属龙华医院,http://www.longhua.net,021 64385700,徐汇区,宛平南路725号,200032,三级甲等,16,4.65,2013-11-29 下午06:59:53,2013-12-12 上午09:42:36,31.186796,121.449973,上海市,
√,84,H00001029,上海市总队医院,中国人民武装警察部队上海市总队医院,http://sh.021mr.com,021 62611599,长宁区,虹许路831号,201103,三级甲等,18,4.86,2013-11-29 下午06:59:54,2013-12-12 上午09:42:36,31.1845543,121.3933629,上海市,
√,85,H00001030,上海市第三人民医院,上海交通大学医学院附属第三人民医院,http://www.bghospital.cn,021 56691101,宝山区,漠河路280号,201900,三级乙等,25,4.67,2013-11-29 下午06:59:54,2013-12-19 上午03:46:46,31.40891,121.476864,上海市,
√,21,H00001031,上海市肺科医院(延庆路门诊部),同济大学附属上海市肺科医院(延庆路门诊部),http://www.shsfkyy.com,021 64375510,徐汇区,延庆路130号,200031,三级未评,5,0,2013-11-29 下午06:59:31,2013-12-12 上午09:42:35,31.214909,121.450412,上海市,22
√,24,H00001032,上海儿科医院(枫林路门诊部),复旦大学附属儿科医院(枫林路门诊部),http://ch.shmu.edu.cn,021 64175173,徐汇区,医学院路130号(枫林路口),200032,三级未评,30,4.67,2013-11-29 下午06:59:32,2013-12-12 上午09:42:36,31.198752,121.454015,上海市,25
√,15,H00001033,,上海市皮肤病医院(长宁区门诊部),http://www.shskin.com,021 61833107,长宁区,武夷路200号,200050,三级未评,,0,2013-11-29 下午06:59:29,2013-12-12 上午09:42:35,31.213334,121.426665,上海市,16
√,4,H00001034,,上海市精神卫生中心(闵行院区),http://www.smhc.org.cn,021 64901737,闵行区,沪闵路3210号,201108,三级甲等,,0,2013-11-29 下午06:59:25,2013-12-12 上午09:42:35,31.1389002,121.4095131,上海市,5
√,56,H00001035,上海华东医院(市府大厦门诊部),上海复旦大学附属华东医院(市府大厦门诊部),http://www.huadonghospital.com,021 63218996,黄浦区,"江西中路187,189号(新城饭店)",200002,三级未评,19,4.3,2013-11-29 下午06:59:44,2013-12-12 上午09:42:36,31.235312,121.487101,上海市,57
√,93,H00003812,上海市光华中西医结合医院,上海市光华中西医结合类风关专科医院,http://www.ghhospital.com.cn,021 62805833,长宁区,新华路540号,10,三级甲等,2013-11-29 下午07:00:02,2013-12-12 上午09:42:36,1900-1-30 上午04:49:57,1900-4-30 上午10:21:03,上海市,,上海市,
√,137,H00003852,杨浦中心医院,同济大学附属杨浦医院,http://www.shypzx.com,021 65690520,杨浦区,腾越路450号,200090,三级乙等,13,3.93,2013-11-29 下午07:00:29,2013-12-12 上午09:42:37,31.271349,121.549807,上海市,
√,184,H00004894,上海市第五人民医院,复旦大学附属上海市第五人民医院,http://www.5thhospital.com,021 64308151,闵行区,瑞丽路128号,200240,三级乙等,22,4.56,2013-11-29 下午07:00:46,2013-12-19 上午03:46:46,31.003121,121.408675,上海市,
√,190,H00008355,上海市普陀区中心医院,上海中医药大学附属普陀医院,http://www.sptdch.cn,021 22233222,普陀区,兰溪路164号,30,三级乙等,2013-11-29 下午07:00:49,2013-12-12 上午09:42:37,1900-1-30 上午05:47:05,1900-4-30 上午09:40:35,上海市,,上海市,
√,193,H00009026,,上海市中医医院(门诊部),http://szy.sh.cn,021 62588203,静安区,石门一路67弄1号,200041,三级未评,,0,2013-11-29 下午07:00:50,2013-12-12 上午09:42:34,31.2252889,121.4631751,上海市,
√,66,H00009285,上海同济医院(大华门诊部),同济大学附属同济医院(大华门诊部),http://www.tongjihospital.com.cn,021 66344400,宝山区,新沪路950号,200436,三级未评,25,4.17,2013-11-29 下午06:59:47,2013-12-12 上午09:42:34,31.272475,121.418114,上海市,64
√,51,H00009325,上海华山医院(东院),复旦大学附属华山医院(东院),http://www.hhp.org.cn,021 50301999-1000,浦东新区,红枫路525号(近明月路),201206,三级甲等,22,4.3,2013-11-29 下午06:59:42,2013-12-12 上午09:42:36,31.239538,121.596212,上海市,50
√,8,H00009332,上海五官科医院(浦东分院),复旦大学附属眼耳鼻喉科医院(浦东分院),http://www.fdeent.org,021 58835588,浦东新区,耀华路389号,200126,三级未评,15,4.67,2013-11-29 下午06:59:26,2013-12-12 上午09:42:35,31.17427,121.484897,上海市,7
√,72,H00009355,上海市第一人民医院(南院),上海交通大学附属第一人民医院(南院),http://www.firsthospital.cn,021 63240090,松江区,新松江路650号,201617,三级甲等,21,4.61,2013-11-29 下午06:59:49,2013-12-19 上午03:46:46,31.038867,121.225766,上海市,69
√,37,H00009443,第九人民医院(浦东分院),上海交通大学医学院附属第九人民医院(浦东分院),http://www.9hospital.com.cn,021 58702208,浦东新区,严镇路166号,200125,三级甲等,19,4.48,2013-11-29 下午06:59:37,2013-12-20 上午09:20:31,31.202928,121.485483,上海市,36
√,29,H00009467,上海仁济医院(东院),上海交通大学医学院附属仁济医院(东院),http://www.renji.com,021 58752345,浦东新区,浦建路160号,200127,三级甲等,26,4.48,2013-11-29 下午06:59:34,2013-12-12 上午09:42:34,31.2085176,121.521476,上海市,27
√,196,H00009506,岳阳医院名医特诊部(青海路分院),上海中医药大学附属岳阳中西医结合医院名医特诊部(青海路分院),,021 62536300,静安区,青海路44号,200041,三级甲等,21,4.45,2013-11-29 下午07:00:51,2013-12-12 上午09:42:43,31.2305662,121.4640379,上海市,
√,19,H00009511,上海市公共卫生临床中心(市区分部),复旦大学附属公共卫生临床中心(市区分部),http://www.shaphc.org,021 37990333-6381,虹口区,同心路921号,200083,三级甲等,,0,2013-11-29 下午06:59:30,2013-12-12 上午09:42:42,31.272709,121.47163,上海市,18
√,197,H00009527,上海曙光医院(东院),上海中医药大学附属曙光医院(东院),http://www.sgyy.cn,021 20256117,浦东新区,张衡路528号,201203,三级甲等,16,4.65,2013-11-29 下午07:00:51,2013-12-12 上午09:42:37,31.187482,121.592078,上海市,
√,12,H00009537,上海市第一妇婴保健院(南院),同济大学附属第一妇婴保健院(南院),http://www.51mch.com,021 58838888,浦东新区,耀华路391号(近长清路),200126,三级甲等,37,4.31,2013-11-29 下午06:59:28,2013-12-19 上午03:46:46,31.174017,121.484824,上海市,11
√,200,H00025785,上海市口腔医院(分院),上海市口腔病防治院(分院),http://www.shssdc.com,021 63509092,徐汇区,复兴中路1258号,200001,三级未评,,0,2013-11-29 下午07:00:52,2013-12-12 上午09:42:43,31.2403881,121.4831251,上海市,445
√,224,H00025825,,上海市气功研究所,http://www.shqigong.com,021 64394141,徐汇区,宛平南路650号2-3楼,200020,三级乙等,10,5,2013-11-29 下午07:01:01,2013-12-12 上午09:42:38,31.219349,121.471236,上海市,
√,229,H00025830,,上海远大心胸医院,http://www.yodak.net,4006770366,徐汇区,龙漕路218号,200235,三级甲等,5,4,2013-11-29 下午07:01:03,2013-12-12 上午09:42:38,31.169497,121.442078,上海市,
√,2,H00025833,红房子医院(杨浦院区),复旦大学附属妇产科医院(杨浦院区),http://fckyy.fudan.edu.cn,021 33189900,杨浦区,沈阳路128号,200090,三级甲等,75,4.25,2013-11-29 下午06:59:24,2013-12-12 上午09:42:34,31.25965,121.534629,上海市,
√,58,H00025844,上海华东医院(闵行门诊部),上海复旦大学附属华东医院(闵行门诊部),http://www.huadonghospital.com,021 62483180-29151,闵行区,春申路2869号,201100,三级未评,,0,2013-11-29 下午06:59:44,2013-12-12 上午09:42:36,31.107971,121.406887,上海市,57
√,431,H00060361,,上海市集爱遗传与不育诊疗中心(红房子医院),http://fckyy.fudan.edu.cn/roomcontent/21,021 63459977,黄浦区,方斜路588号(近陆家浜路),200011,三级甲等,,0,2013-11-29 下午07:02:16,2013-12-12 上午09:42:40,31.211885,121.482979,上海市,
√,445,H00069360,上海市口腔医院,上海市口腔病防治院,,021 63509092,黄浦区,北京东路356号,200001,三级未评,7,4.75,2013-11-29 下午07:02:21,2013-12-12 上午09:42:40,31.2403881,121.4831251,上海市,
√,531,H00126682,上海时光整形外科医院,上海时光整形外科医院(曙光医院),http://www.sh-shuguang.com,021 63848888,卢湾区,普安路189号,200020,三级甲等,31,4.77,2013-11-29 下午07:02:53,2013-12-12 上午09:42:41,1900-1-30 上午05:20:35,121.478665,上海市,
X,636,H00143395,,上海武警部队总医院,,021 62429837,闵行区,虹许路831号,200241,三级甲等,5,4.72,2013-11-29 下午07:03:30,2013-12-12 上午09:42:35,31.1845543,121.3933629,上海市,
X,637,H00143396,,上海市八五医院,,62528805,长宁区,华山路1328号,200050,三级甲等,15,4,2013-11-29 下午07:03:30,2013-12-12 上午09:42:42,31.209028,121.432907,上海市,
√,79,H00145468,上海市第六人民医院(东院),上海交通大学附属第六人民医院(东院),http://www.6thhosp-east.com,021 38297000,浦东新区,南汇新城环湖西三路222号,201300,三级甲等,15,4.56,2013-11-29 下午06:59:52,2013-12-19 上午03:46:46,30.8856939,121.9208665,上海市,77
√,32,H00151258,上海仁济医院(南院),上海交通大学医学院附属仁济医院(南院),http://www.renji.com,021 34506157,闵行区,江月路2000号,200240,三级甲等,,0,2013-11-29 下午06:59:35,2013-12-12 上午09:42:35,31.0816901,121.5025549,上海市,27
√,43,H00009304,上海瑞金医院(分院),上海交通大学医学院附属瑞金医院(分院),http://www.rjh.com.cn,021 64370045,卢湾区,徐家汇路573号,200025,三级甲等,20,4.27,2013-11-29 下午06:59:39,2013-12-12 上午09:42:42,31.1858801,121.4366769,上海市,39
√,188,H00156555,上海市东方医院,同济大学附属东方医院,http://www.easthospital.cn,021 38804518,浦东新区,即墨路150号,200120,三级甲等,46,4.83,2013-11-29 下午07:00:48,2013-12-12 上午09:42:37,31.237782,121.513375,上海市,
√,189,H00159011,上海市东方医院(南院),同济大学附属东方医院(南院),,021 38804518-5210,浦东新区,云台路1800号(华夏西路口),200120,三级甲等,26,4.7,2013-11-29 下午07:00:48,2013-12-12 上午09:42:43,31.1665044,121.5067371,上海市,187
√,55,H00179390,上海华山医院(北院),复旦大学附属华山医院(北院),http://www.n-huashan.org.cn,021 52889999,宝山区,陆翔路108号(镜泊湖路518号),201908,三级甲等,46,4.57,2013-11-29 下午06:59:43,2013-12-12 上午09:42:34,31.355106,121.3647527,上海市,50
√,667,H00183299,,上海市眼病防治中心,,021 62717733,静安区,康定路380号,200040,三级甲等,,0,2013-11-29 下午07:03:40,2013-12-12 上午09:42:42,31.234771,121.448764,上海市,
√,33,H00184974,上海仁济医院(北院),上海交通大学医学院附属仁济医院(北院),http://www.renji.com,021 20284500,浦东新区,灵山路845号(巨野路口),200135,三级甲等,150,3,2013-11-29 下午06:59:35,2013-12-12 上午09:42:35,31.232397,121.551708,上海市,27
＋,,,上海五官科医院(宝庆分院),复旦大学附属眼耳鼻喉科医院(宝庆分院),http://www.fdeent.org,021 64376425,徐汇区,宝庆路19号,,三级未评,,,,,,,上海市,
＋,,,上海市第一妇婴保健院(东院),同济大学附属第一妇婴保健院(东院),http://www.51mch.com,021 20261000,浦东新区,高科西路2699号,,三级甲等,,,,,,,上海市,
＋,,,,上海市儿童医院(普陀院区),http://www.shchildren.com.cn,021 52976020,普陀区,泸定路355号,,三级甲等,,,,,,,上海市,
＋,,,,上海市皮肤病医院(虬江路分院),http://www.shskin.com,021 66300588,闸北区,虬江路1057号(近西藏北路),,三级甲等,,,,,,,上海市,
＋,,,第九人民医院(大沽路门诊部),上海交通大学医学院附属第九人民医院(大沽路门诊部),http://www.9h-dgl.com,021 63400490,静安区,大沽路388-390号,,三级未评,,,,,,,上海市,
＋,,,第九人民医院(虹梅路门诊部),上海交通大学医学院附属第九人民医院(虹梅路门诊部),http://www.9h-hm.com,021 54220975,闵行区,虹梅路3310号,,三级未评,,,,,,,上海市,
＋,,,,上海市针灸经络研究所,http://www.shacumox.com,021 64397518,徐汇区,宛平南路650号1楼,,三级乙等,,,,,,,上海市,
√,49,H00000995,,上海市东方乳腺疾病医院(华山医院分部),,021 62511127,长宁区,江苏路796号,200052,二级乙等,60,4.72,2013-11-29 下午06:59:41,2013-12-12 上午09:42:36,31.212423,121.4332378,上海市,50
√,47,H00002024,中山医院(延安西路分部),复旦大学附属中山医院(延安西路分部),,021 64041990,长宁区,延安西路1474号,200052,二级甲等,24,4.45,2013-11-29 下午06:59:40,2013-12-12 上午09:42:36,31.209139,121.422221,上海市,46
√,48,H00002163,上海市青浦区中心医院,复旦大学附属中山医院青浦分院,,021 69719190,青浦区,公园东路1158号,201700,二级甲等,15,4.42,2013-11-29 下午06:59:41,2013-12-12 上午09:42:36,31.2490797,121.4868906,上海市,46
√,87,H00002177,,上海市普陀区妇幼保健院,,021 62994352,普陀区,长寿路170号,200060,二级未评,15,4.11,2013-11-29 下午06:59:55,2013-12-12 上午09:42:36,31.243616,121.442183,上海市,
√,89,H00002179,,上海市浦东新区精神卫生中心,,021 68306699,浦东新区,三林路165号,200124,二级未评,,0,2013-11-29 下午06:59:55,2013-12-12 上午09:42:34,31.2052129,121.5669822,上海市,
√,90,H00002180,,上海市长宁区妇幼保健院,,021 62288686,长宁区,武夷路773号,200051,二级甲等,23,4.83,2013-11-29 下午07:00:01,2013-12-12 上午09:42:36,31.212692,121.414704,上海市,
√,91,H00003807,,上海中冶医院,,021 56647585,宝山区,春雷路456号,200941,二级乙等,38,4.45,2013-11-29 下午07:00:01,2013-12-12 上午09:42:36,31.412578,121.433447,上海市,
√,76,H00003808,崇明县中心医院,上海交通大学医学院附属新华医院崇明分院,,021 69692701,崇明县,城桥镇南门港街25号,202150,二级甲等,17,4.72,2013-11-29 下午06:59:51,2013-12-12 上午09:42:34,31.6181761,121.3978748,上海市,75
√,40,H00003809,上海市卢湾区中心医院,上海交通大学医学院附属瑞金医院卢湾分院,,021 63864050,卢湾区,重庆南路149号(正门)，谈水路170号(后门),200020,二级甲等,62,3.89,2013-11-29 下午06:59:38,2013-12-12 上午09:42:36,31.2154639,121.4709291,上海市,39
√,92,H00003811,,上海市公惠医院,,021 62539995,静安区,石门一路315弄6号,200041,二级乙等,8,3.86,2013-11-29 下午07:00:02,2013-12-12 上午09:42:34,31.2309782,121.4620757,上海市,
√,94,H00003813,,上海市闸北区北站医院,,021 63549199,闸北区,南星路29号,200070,二级未评,,0,2013-11-29 下午07:00:02,2013-12-12 上午09:42:36,31.2434069,121.465318,上海市,
√,95,H00003815,,上海市浦东医院,,021 58022995,浦东新区,惠南镇人民路3100号,201300,二级甲等,43,4.01,2013-11-29 下午07:00:03,2013-12-12 上午09:42:36,31.0494578,121.7652711,上海市,
√,96,H00003816,,上海市浦东新区南华医院,,021 68032537,浦东新区,惠南镇北门路71号,201300,二级乙等,,0,2013-11-29 下午07:00:03,2013-12-12 上午09:42:36,31.0589595,121.7548461,上海市,
√,97,H00003817,,上海市浦东新区光明中医医院,,021 68019069,浦东新区,惠南镇东门大街43号,201300,二级甲等,17,4.33,2013-11-29 下午07:00:08,2013-12-12 上午09:42:36,31.046512,121.7565771,上海市,
√,98,H00003818,,上海市浦东新区南汇精神卫生中心,,021 68036090,浦东新区,惠南镇拱乐路2759号,201300,二级未评,,0,2013-11-29 下午07:00:09,2013-12-12 上午09:42:36,31.230416,121.473701,上海市,
√,99,H00003820,东南医院,上海市黄浦区东南医院(上海市卢湾区东南老年护理医院),,021 63037638,卢湾区,瞿溪路1100号,200023,二级乙等,,0,2013-11-29 下午07:00:09,2013-12-12 上午09:42:36,31.198938,121.475045,上海市,
√,100,H00003821,上海市黄浦区妇幼保健院,上海市中德医院,,021 63052000,卢湾区,丽园路712号,200023,二级甲等,,0,2013-11-29 下午07:00:10,2013-12-20 上午09:29:11,31.206809,121.47846,上海市,
√,101,H00003822,香山中医医院,上海市卢湾区香山中医医院,,021 53061730,卢湾区,复兴中路526-528号,200020,二级甲等,45,3.67,2013-11-29 下午07:00:10,2013-12-12 上午09:42:34,31.215884,121.466522,上海市,
√,102,H00003824,上海市嘉定区中医医院,上海市龙华中医医院集团嘉定医院,,021 39921068,嘉定区,博乐路222号,201800,二级甲等,12,4.69,2013-11-29 下午07:00:10,2013-12-12 上午09:42:36,31.3824937,121.2544388,上海市,
√,103,H00003826,,上海市嘉定区南翔医院,,021 31273784,嘉定区,南翔镇民主街144号,201802,二级乙等,10,3.33,2013-11-29 下午07:00:11,2013-12-12 上午09:42:36,31.2895522,121.3074189,上海市,
√,104,H00003827,,上海市嘉定区妇幼保健院,,021 67070000,嘉定区,北大街128号,201800,二级甲等,27,4.67,2013-11-29 下午07:00:11,2013-12-12 上午09:42:36,31.391375,121.245821,上海市,
√,105,H00003828,,上海市嘉定区安亭医院,,021 59579914,嘉定区,安亭镇昌吉路204号,201805,二级未评,20,4.45,2013-11-29 下午07:00:11,2013-12-12 上午09:42:36,31.2952596,121.1546846,上海市,
√,106,H00003829,,上海市宝山区大场医院,,021 66893999,宝山区,大场镇少年村路218号,200436,二级乙等,30,3.57,2013-11-29 下午07:00:12,2013-12-12 上午09:42:36,31.300639,121.42566,上海市,
√,107,H00003830,,上海市奉贤区中医医院,,021 57420861,奉贤区,南奉公路9588号,201400,二级甲等,30,2.57,2013-11-29 下午07:00:12,2013-12-12 上午09:42:36,30.902806,121.458943,上海市,
√,78,H00003831,上海市奉贤区中心医院,上海交通大学附属第六人民医院(南院),,021 57420702,奉贤区,南桥镇南奉公路6600号,201400,二级甲等,15,3.93,2013-11-29 下午06:59:52,2013-12-12 上午09:42:42,30.9137864,121.4695157,上海市,77
√,108,H00003832,,上海市奉贤区古华医院,,021 57411471,奉贤区,奉贤南桥镇南奉公路9220号,201400,二级未评,15,4,2013-11-29 下午07:00:12,2013-12-12 上午09:42:36,30.913485,121.467713,上海市,
√,109,H00003833,上海市奉贤区奉城医院,上海交通大学医学院附属第九人民医院(奉城分院),,021 57522576,奉贤区,川南奉公路9983号,201411,二级乙等,7,5,2013-11-29 下午07:00:13,2013-12-12 上午09:42:43,31.1823237,121.7440591,上海市,
