id,vendor_id,name,official_name,address,phone,post_code,h_class,avg_waiting_time,avg_rating,created_at,updated_at,latitude,longitude,city,parent_id,website,district,gbi_id,ownership
19,H00009511,上海市公共卫生临床中心(市区分部) 》772,复旦大学附属公共卫生临床中心(市区分部),同心路921号,021 37990333-6381,200083,三级甲等,,0,2013-11-30 02:59:30 +0800,2015-02-17 17:39:10 +0800,31.272709,121.47163,上海市,18,http://www.shaphc.org,虹口区,,
20,H00000998,上海儿童医学中心 812,上海交通大学医学院附属上海市儿童医学中心,东方路1678号,021 38626161,200127,三级甲等,45,4.5,2013-11-30 02:59:30 +0800,2015-02-17 17:39:09 +0800,31.204598,121.523117,上海市,,http://www.scmc.com.cn,浦东新区,,
21,H00001031,上海市肺科医院(延庆路门诊部),同济大学附属上海市肺科医院(延庆路门诊部),延庆路130号,021 64375510,200031,三级未评,5,0,2013-11-30 02:59:30 +0800,2015-02-17 17:39:10 +0800,31.214909,121.450412,上海市,22,http://www.shsfkyy.com,徐汇区,,
22,H00000999,上海市肺科医院  992,同济大学附属上海市肺科医院,政民路507号,021 65115006,200433,三级甲等,38,4.17,2013-11-30 02:59:31 +0800,2015-02-17 17:39:09 +0800,31.301283,121.502759,上海市,,http://www.shsfkyy.com,杨浦区,,
23,H00001001,东方肝胆医院   1002,中国人民解放军第二军医大学第三附属医院,长海路225号,021 65564166,200438,三级甲等,13,4.82,2013-11-30 02:59:31 +0800,2015-02-17 17:39:09 +0800,31.310206,121.529098,上海市,,http://www.ehbh.cn,杨浦区,,
24,H00001032,上海儿科医院(枫林路门诊部) 744,复旦大学附属儿科医院(枫林路门诊部),医学院路130号(枫林路口),021 64175173,200032,三级未评,30,4.67,2013-11-30 02:59:31 +0800,2015-02-17 17:39:10 +0800,31.198752,121.454015,上海市,25,http://ch.shmu.edu.cn,徐汇区,,
25,G2022038,上海儿科医院,复旦大学附属儿科医院,万源路399号,021 64931990,201102,三级甲等,53,4.67,2013-11-30 02:59:32 +0800,2015-03-05 16:01:12 +0800,31.140367,121.3961,上海市,,http://ch.shmu.edu.cn,闵行区,2022038,0
26,H00001003,,上海伽玛医院,吴中东路518号(近中山西路口),021 64385336,200235,三级甲等,32,4.67,2013-11-30 02:59:32 +0800,2015-02-17 17:39:09 +0800,31.189668,121.422333,上海市,,http://www.shgkh.com,徐汇区,,
27,H00001006,上海仁济医院(西院) 》757,上海交通大学医学院附属仁济医院(西院),山东中路145号,021 63260930,200001,三级甲等,25,4.51,2013-11-30 02:59:33 +0800,2015-02-17 17:39:09 +0800,31.233634,121.484601,上海市,,http://www.renji.com,黄浦区,,
28,H00009337,上海同仁医院 789,上海交通大学医学院附属仁济医院长宁分院,愚园路786号,021 62524259,200042,二级甲等,15,4.76,2013-11-30 02:59:33 +0800,2015-02-17 17:39:13 +0800,31.220587,121.43426,上海市,27,,长宁区,,
29,H00009467,上海仁济医院(东院)   989,上海交通大学医学院附属仁济医院(东院),浦建路160号,021 58752345,200127,三级甲等,25,4.53,2013-11-30 02:59:33 +0800,2015-02-17 17:39:10 +0800,31.2085176,121.521476,上海市,27,http://www.renji.com,浦东新区,,
30,G92015503,上海市嘉定区中心医院,上海交通大学医学院附属仁济医院嘉定分院,"城北路1号,博乐南路111号",021 69987589,310114,二级甲等,19,4.66,2013-11-30 02:59:34 +0800,2015-03-05 16:01:09 +0800,31.387016,121.240241,上海市,27,http://www.jdhospital.com/,嘉定区,92015503,0
31,H00128268,,上海天伦医院,凉城路545号,65259999,200082,私立,,0,2013-11-30 02:59:34 +0800,2015-02-17 17:39:24 +0800,31.2908398,121.4707544,上海市,27,,虹口区,,
32,H00151258,上海仁济医院(南院) 》756,上海交通大学医学院附属仁济医院(南院),江月路2000号,021 34506157,200240,三级甲等,,0,2013-11-30 02:59:34 +0800,2015-02-17 17:39:10 +0800,31.0816901,121.5025549,上海市,27,http://www.renji.com,闵行区,,
33,H00184974,上海仁济医院(北院)  758,上海交通大学医学院附属仁济医院(北院),灵山路845号(巨野路口),021 20284500,200135,三级甲等,150,3,2013-11-30 02:59:35 +0800,2015-02-17 17:39:11 +0800,31.232397,121.551708,上海市,27,http://www.renji.com,浦东新区,,
34,H00001007,上海长征医院 1000,中国人民解放军第二军医大学第二附属医院,凤阳路415号,021 63586818,200003,三级甲等,25,4.46,2013-11-30 02:59:35 +0800,2015-02-17 17:39:09 +0800,31.232799,121.467216,上海市,,http://www.shczyy.com,黄浦区,,
35,H00003913,上海长征医院闸北分院 》755,上海市闸北区中心医院,中华新路619号(近共和新路),021 56628584,200070,二级甲等,20,4.22,2013-11-30 02:59:36 +0800,2015-02-17 17:39:13 +0800,31.253582,121.461717,上海市,34,,闸北区,,
36,G92015750,第九人民医院,上海交通大学医学院附属第九人民医院,制造局路639号,021 23271699-5818,200011,三级甲等,30,4.64,2013-11-30 02:59:36 +0800,2015-03-05 16:01:35 +0800,31.202928,121.485483,上海市,,www.9hospital.com.cn/,黄浦区,92015750,0
37,H00009443,第九人民医院(浦东分院) 》760,上海交通大学医学院附属第九人民医院(浦东分院),严镇路166号,021 58702208,200125,三级甲等,21,4.49,2013-11-30 02:59:36 +0800,2015-02-17 17:39:10 +0800,31.202928,121.485483,上海市,36,http://www.9hospital.com.cn,浦东新区,,
38,H00001009,上海曙光医院(西院) 》777,上海中医药大学附属曙光医院(西院),普安路185号,021 53821650,200021,三级甲等,18,4.6,2013-11-30 02:59:37 +0800,2015-02-17 17:39:09 +0800,31.222542,121.478867,上海市,,http://www.sgyy.cn,卢湾区,,
39,G92015684,上海瑞金医院,上海交通大学医学院附属瑞金医院,瑞金二路197号(永嘉路口),021 64370045,200025,三级甲等,37,4.48,2013-11-30 02:59:37 +0800,2015-03-27 11:21:56 +0800,31.211426,121.46602,上海市,,www.rjh.com.cn/,黄浦区,92015684,0
40,G92015688,上海市卢湾区中心医院,上海交通大学医学院附属瑞金医院卢湾分院,重庆南路149号(正门)，谈水路170号(后门),021 63864050,200020,二级甲等,62,3.89,2013-11-30 02:59:37 +0800,2015-03-05 16:01:18 +0800,31.2154639,121.4709291,上海市,39,www.rjlwh.com.cn/,黄浦区,92015688,0
41,H00003871,上海瑞金医院(远洋分院) 》762,上海交通大学医学院附属瑞金医院(远洋分院),淮海中路1174号,021 64717398,200031,二级乙等,105,0,2013-11-30 02:59:38 +0800,2015-03-24 12:36:53 +0800,31.214563,121.453649,上海市,39,,卢湾区,,
42,G92015414,,上海市闵行区中心医院,莘松路170号/沪闵路6258号,021 64923400,201199,二级甲等,35,4.45,2013-11-30 02:59:38 +0800,2015-03-27 11:08:36 +0800,31.108553,121.375891,上海市,39,http://www.mhhospital.com/,闵行区,92015414,0
43,H00009304,上海瑞金医院(分院)  946,上海交通大学医学院附属瑞金医院(分院),徐家汇路573号,021 64370045,200025,三级甲等,22,4.45,2013-11-30 02:59:38 +0800,2015-03-24 12:35:44 +0800,31.1858801,121.4366769,上海市,39,http://www.rjh.com.cn,卢湾区,,
46,G92015618,上海市中山医院,复旦大学附属中山医院,枫林路180号,021 64041990,200032,三级甲等,25,4.29,2013-11-30 02:59:39 +0800,2015-03-05 16:01:31 +0800,31.197947,121.454753,上海市,,http://www.zs-hospital.sh.cn/,徐汇区,92015618,0
47,H00002024,中山医院(延安西路分部)  999,复旦大学附属中山医院(延安西路分部),延安西路1474号,021 64041990,200052,二级甲等,24,4.45,2013-11-30 02:59:40 +0800,2015-02-17 17:39:11 +0800,31.209139,121.422221,上海市,46,,长宁区,,
48,G92015567,上海市青浦区中心医院,复旦大学附属中山医院青浦分院,公园东路1158号,021 69719190,201700,三级乙等,15,4.42,2013-11-30 02:59:40 +0800,2015-03-05 16:01:37 +0800,31.2490797,121.4868906,上海市,46,www.qphospital.com/,青浦区,92015567,0
49,H00000995,995,上海市东方乳腺疾病医院(华山医院分部),江苏路796号,021 62511127,200052,二级乙等,60,4.72,2013-11-30 02:59:41 +0800,2015-02-17 17:39:11 +0800,31.212423,121.4332378,上海市,50,,长宁区,,
50,G92015627,上海华山医院,复旦大学附属华山医院,乌鲁木齐中路12号,021 52889999,200040,三级甲等,27,4.39,2013-11-30 02:59:41 +0800,2015-03-27 11:11:26 +0800,31.21622,121.444145,上海市,,http://www.huashan.org.cn,静安区,92015627,0
51,H00009325,上海华山医院(东院) 》751,复旦大学附属华山医院(东院),红枫路525号(近明月路),021 50301999-1000,201206,三级甲等,22,4.3,2013-11-30 02:59:42 +0800,2015-03-24 11:32:43 +0800,31.239538,121.596212,上海市,50,http://www.hhp.org.cn,浦东新区,,
52,G92043743,上海市闸北区彭浦永和地段医院,复旦大学附属华山医院永和分院,交城路100号,021 56505528,200070,二级未评,10,4.57,2013-11-30 02:59:42 +0800,2015-03-05 16:01:22 +0800,31.293821,121.431685,上海市,50,www.yhhospital.com/,宝山区,92043743,0
53,G92015403,上海华山医院(宝山分院),复旦大学附属华山医院(宝山分院),长江西路1999号,021 56731199,200431,未评定,30,4.83,2013-11-30 02:59:42 +0800,2015-03-27 11:07:35 +0800,31.331391,121.441932,上海市,50,www.huashan-bs.org.cn/,宝山区,92015403,0
54,H00066319,上海市华顺医院（与50合并）,,乌鲁木齐中路12号,62483986,200040,三级甲等,7,4.42,2013-11-30 02:59:43 +0800,2015-02-16 16:18:59 +0800,31.21622,121.444145,上海市,50,,,,
55,H00179390,华山医院(北院)   953,复旦大学附属华山医院(北院),陆翔路108号,021 52889999,201908,三级甲等,46,4.57,2013-11-30 02:59:43 +0800,2015-03-19 16:21:40 +0800,31.355106,121.3647527,上海市,50,http://www.n-huashan.org.cn,宝山区,,
56,H00001035,上海华东医院(市府大厦门诊部)  750,上海复旦大学附属华东医院(市府大厦门诊部),"江西中路187,189号(新城饭店)",021 63218996,200002,三级未评,19,4.3,2013-11-30 02:59:43 +0800,2015-02-17 17:39:10 +0800,31.235312,121.487101,上海市,57,http://www.huadonghospital.com,黄浦区,,
57,H00001014,上海华东医院 》748,上海复旦大学附属华东医院,延安西路221号,021 62483180,200040,三级甲等,22,4.54,2013-11-30 02:59:44 +0800,2015-02-17 17:39:09 +0800,31.2014966,121.4023337,上海市,,http://www.huadonghospital.com,静安区,,
58,H00025844,上海华东医院(闵行门诊部) 》749,上海复旦大学附属华东医院(闵行门诊部),春申路2869号,021 62483180-29151,201100,三级未评,,0,2013-11-30 02:59:44 +0800,2015-02-17 17:39:10 +0800,31.107971,121.406887,上海市,57,http://www.huadonghospital.com,闵行区,,
59,G92015182,上海85医院,中国人民解放军第八五医院,华山路1328号,021 81818585,200052,三级甲等,19,4.52,2013-11-30 02:59:44 +0800,2015-03-05 16:01:36 +0800,31.209028,121.432907,上海市,,http://www.sh85yy.com/index.html,长宁区,92015182,2
60,H00037178,中国人民解放军第八五医院分院  1001,中国人民解放军第八五医院(分院),沪闵路9585号,021 81817003,200232,二级甲等,10,4.5,2013-11-30 02:59:45 +0800,2015-02-17 17:39:14 +0800,31.1389002,121.4095131,上海市,59,,徐汇区,,
61,G92015184,上海455医院,中国人民解放军第四五五医院,淮海西路338号,021 81815455,200052,三级甲等,14,4.34,2013-11-30 02:59:45 +0800,2015-03-05 16:01:36 +0800,31.199525,121.428535,上海市,,www.455hospital.cn,长宁区,92015184,2
62,H00125457,中国人民解放军第四五五医院松江分院 》753,中国人民解放军第四五五医院(松江分院),松汇西路1200号,021 57767928,201600,二级甲等,7,4.9,2013-11-30 02:59:45 +0800,2015-02-17 17:39:14 +0800,31.004754,121.214817,上海市,61,,松江区,,
63,H00128167,上海108医院   981,上海一〇八医院,哈密路1713号,021 62688688,200051,二级甲等,,0,2013-11-30 02:59:46 +0800,2015-02-17 17:39:14 +0800,31.196335,121.367044,上海市,61,,长宁区,,
64,H00001017,上海同济医院   991,同济大学附属同济医院,新村路389号,021 56051080,200065,三级甲等,33,4.53,2013-11-30 02:59:46 +0800,2015-02-17 17:39:09 +0800,31.265955,121.431152,上海市,,http://www.tongjihospital.com.cn,普陀区,,
65,G1000010973,同济大学附属同济医院分院,同济大学附属同济医院分院,赤峰路50号,021 65981346,200080,二级未评,17,4.6,2013-11-30 02:59:47 +0800,2015-03-05 16:01:35 +0800,31.280679,121.500512,上海市,64,,虹口区,1000010973,0
66,H00009285,上海同济医院(大华门诊部),同济大学附属同济医院(大华门诊部),新沪路950号,021 66344400,200436,三级未评,16,4.23,2013-11-30 02:59:47 +0800,2015-02-17 17:39:10 +0800,31.272475,121.418114,上海市,64,http://www.tongjihospital.com.cn,宝山区,,
67,G92015465,上海市中医医院,上海市中医医院,芷江中路274号,021 56639828,200071,三级甲等,39,4.49,2013-11-30 02:59:47 +0800,2015-03-05 16:01:36 +0800,31.259749,121.471156,上海市,,www.szy.sh.cn/,闸北区,92015465,0
68,H00001019,上海市第十人民医院  993,同济大学附属第十人民医院,延长中路301号,021 66303643,200072,三级甲等,22,4.55,2013-11-30 02:59:48 +0800,2015-02-17 17:39:09 +0800,31.270883,121.453971,上海市,,http://www.shdsyy.com.cn,闸北区,,
69,H00001020,上海市第一人民医院(北院) 790,上海交通大学附属第一人民医院(北院),海宁路100号,021 63240090,200080,三级甲等,18,4.38,2013-11-30 02:59:48 +0800,2015-02-17 17:39:09 +0800,31.253359,121.489277,上海市,,http://www.firsthospital.cn,虹口区,,
70,H00003874,上海第四人民医院 》767,上海市第一人民医院(分院),四川北路1878号,021 56663031,200081,二级甲等,16,4.51,2013-11-30 02:59:48 +0800,2015-02-17 17:39:12 +0800,31.2611,121.484158,上海市,69,,虹口区,,
71,H00003875,上海市宝山区吴淞中心医院 》768,上海市第一人民医院(宝山分院),同泰北路101号,021 56162417,200940,二级甲等,21,4.46,2013-11-30 02:59:49 +0800,2015-02-17 17:39:12 +0800,31.37895,121.497273,上海市,69,,宝山区,,
72,H00009355,上海市第一人民医院(南院) 》769,上海交通大学附属第一人民医院(南院),新松江路650号,021 63240090,201617,三级甲等,21,4.61,2013-11-30 02:59:49 +0800,2015-02-17 17:39:10 +0800,31.038867,121.225766,上海市,69,http://www.firsthospital.cn,松江区,,
73,G92015183,上海411医院,中国人民解放军第四一一医院,东江湾路15号,4000089411,200081,三级甲等,11,4.74,2013-11-30 02:59:49 +0800,2015-03-27 16:01:19 +0800,31.26542,121.480658,上海市,,www.411yy.com/,虹口区,92015183,2
74,H00001022,上海市中西医结合医院 》785,上海中医药大学附属上海市中西医结合医院,保定路230号,021 65415910,200082,三级甲等,24,3.88,2013-11-30 02:59:50 +0800,2015-02-17 17:39:10 +0800,31.257478,121.510912,上海市,,http://www.stcmih.com,虹口区,,
75,H00001023,上海新华医院 》759,上海交通大学医学附属新华医院,控江路1665号,021 25078999,200092,三级甲等,23,4.6,2013-11-30 02:59:50 +0800,2015-02-17 17:39:10 +0800,31.274534,121.516632,上海市,,http://www.xinhuamed.com.cn,杨浦区,,
76,G92015537,崇明县中心医院,上海交通大学医学院附属新华医院崇明分院,城桥镇南门路25号,021 69692701,202150,三级乙等,17,4.72,2013-11-30 02:59:50 +0800,2015-03-05 16:01:37 +0800,31.6181761,121.3978748,上海市,75,http://www.xinhuachongming.com/,崇明县,92015537,0
77,H00001024,上海市第六人民医院 791,上海交通大学附属第六人民医院,宜山路600号,021 64369181,200233,三级甲等,20,4.61,2013-11-30 02:59:51 +0800,2015-02-17 17:39:10 +0800,31.1759541,121.4210569,上海市,,http://www.6thhosp.com,徐汇区,,
78,H00003831,上海市奉贤区中心医院  765,上海交通大学附属第六人民医院(南院),南桥镇南奉公路6600号,021 57420702,201400,二级甲等,15,3.93,2013-11-30 02:59:51 +0800,2015-02-17 17:39:11 +0800,30.9137864,121.4695157,上海市,77,,奉贤区,,
79,H00145468,上海市第六人民医院(东院)  》764,上海交通大学附属第六人民医院(东院),南汇新城环湖西三路222号,021 38297000,201300,三级甲等,15,4.56,2013-11-30 02:59:51 +0800,2015-02-17 17:39:10 +0800,30.8856939,121.9208665,上海市,77,http://www.6thhosp-east.com,浦东新区,,
80,G92015582,上海长海医院,第二军医大学附属长海医院,长海路168号,021 31166666,200433,三级甲等,34,4.45,2013-11-30 02:59:52 +0800,2015-03-05 16:01:36 +0800,31.30966,121.527061,上海市,,http://chhospital.com.cn/,杨浦区,92015582,2
81,G92015724,上海岳阳医院,上海中医药大学附属岳阳中西医结合医院,甘河路110号,021 65161782,200437,三级甲等,28,4.03,2013-11-30 02:59:52 +0800,2015-03-05 16:01:35 +0800,31.289165,121.488271,上海市,,www.yueyangyy.com/,虹口区,92015724,0
82,G92015628,复旦大学附属金山医院,复旦大学附属金山医院,龙航路1508号,021 34189990,201508,三级乙等,17,4.59,2013-11-30 02:59:52 +0800,2015-03-05 16:01:09 +0800,30.75563,121.329758,上海市,,http://www.jinshanhos.org.cn/,金山区,92015628,0
83,G2022661,上海龙华医院,上海中医药大学附属龙华医院,宛平南路725号,021 64385700,200032,三级甲等,16,4.65,2013-11-30 02:59:53 +0800,2015-03-05 16:01:11 +0800,31.186796,121.449973,上海市,,www.longhua.net/,徐汇区,2022661,0
84,H00001029,上海市总队医院 》782,中国人民武装警察部队上海市总队医院,虹许路831号,021 62611599,201103,三级甲等,18,4.86,2013-11-30 02:59:53 +0800,2015-02-17 17:39:10 +0800,31.1845543,121.3933629,上海市,,http://sh.021mr.com,长宁区,,
85,G92015391,上海市第三人民医院,上海交通大学医学院附属第三人民医院,漠河路280号,021 56691101,201900,三级丙等,25,4.67,2013-11-30 02:59:54 +0800,2015-03-05 16:01:35 +0800,31.40891,121.476864,上海市,,www.bghospital.cn/,宝山区,92015391,0
86,G92015648,上海市徐汇区精神卫生中心,上海市徐汇区精神卫生中心,龙华西路249号,021 64560088,200232,二级未评,11,4.13,2013-11-30 02:59:54 +0800,2015-03-05 16:01:17 +0800,31.1742622,121.4446439,上海市,,www.xhmh-cdc.com/,徐汇区,92015648,0
87,H00002177,上海市普陀区妇幼保健院,上海市普陀区妇幼保健院,长寿路170号,021 62994352,200060,二级未评,18,4,2013-11-30 02:59:54 +0800,2015-02-17 17:39:11 +0800,31.243616,121.442183,上海市,,,普陀区,,
88,H00003868,上海市浦东新区精神卫生中心分部,上海市浦东新区精神卫生中心分部,源深路622号,021 58318875,200122,未评定,,0,2013-11-30 02:59:55 +0800,2015-02-17 17:39:22 +0800,31.230275,121.534851,上海市,89,,浦东新区,,
89,G92015432,上海市浦东新区精神卫生中心总部,上海市浦东新区精神卫生中心,三林路165号,021 68306699,200124,二级乙等,,0,2013-11-30 02:59:55 +0800,2015-03-05 16:01:19 +0800,31.2052129,121.5669822,上海市,,www.shspdjw.com/,浦东新区,92015432,0
90,G92015515,上海市长宁区妇幼保健院,上海市长宁区妇幼保健院,武夷路773号,021 62288686,200051,二级甲等,23,4.83,2013-11-30 03:00:00 +0800,2015-03-05 16:01:14 +0800,31.212692,121.414704,上海市,,http://www.shcnfb.com,长宁区,92015515,0
91,H00003807,,上海中冶医院,春雷路456号,021 56647585,200941,二级乙等,38,4.45,2013-11-30 03:00:01 +0800,2015-02-17 17:39:11 +0800,31.412578,121.433447,上海市,,,宝山区,,
92,G92015666,,上海市公惠医院,石门一路315弄6号,021 62539995,200041,二级乙等,20,3.7,2013-11-30 03:00:01 +0800,2015-03-05 16:01:19 +0800,31.2309782,121.4620757,上海市,,www.ghyy.org/,静安区,92015666,0
93,H00003812,上海市光华中西医结合医院 》784,上海市光华中西医结合类风关专科医院,新华路540号,021 62805833,10,三级甲等,11,4.16,2013-11-30 03:00:02 +0800,2015-02-17 17:39:10 +0800,0,121.431289,上海市,,http://www.ghhospital.com.cn,长宁区,,
94,G92015480,上海市北站医院,上海市闸北区北站医院,南星路29号,021 63549199,310108,二级乙等,,0,2013-11-30 03:00:02 +0800,2015-03-05 16:01:12 +0800,31.2434069,121.465318,上海市,,www.shbzyy.com/,闸北区,92015480,0
95,G92007044,上海市浦东医院,上海市浦东医院,惠南镇拱为路2800号,021 58022995,201300,二级甲等,43,4.01,2013-11-30 03:00:02 +0800,2015-03-05 16:01:35 +0800,31.0494578,121.7652711,上海市,,www.shpdh.org/,浦东新区,92007044,0
96,G92015557,上海市南汇区南华医院,上海市浦东新区南华医院,北门路71号,021 68032537,201300,二级未评,,0,2013-11-30 03:00:03 +0800,2015-03-05 16:01:08 +0800,31.0589595,121.7548461,上海市,,,浦东新区,92015557,0
97,G92015563,上海市南汇区光明中医院,上海市浦东新区光明中医医院,惠南镇东门大街339号,021 68019069,201300,二级甲等,15,4.45,2013-11-30 03:00:08 +0800,2015-03-05 16:01:13 +0800,31.046512,121.7565771,上海市,,www.pdtcm.com/,浦东新区,92015563,0
98,G92015558,上海市南汇区精神卫生中心,上海市浦东新区南汇精神卫生中心,惠南镇拱乐路2759号,021 68036090,201300,二级未评,,0,2013-11-30 03:00:08 +0800,2015-03-05 16:01:08 +0800,31.230416,121.473701,上海市,,,浦东新区,92015558,0
99,H00003820,上海东南医院  988,上海市黄浦区东南医院(上海市卢湾区东南老年护理医院),瞿溪路1100号,021 63037638,200023,二级乙等,,0,2013-11-30 03:00:09 +0800,2015-02-17 17:39:11 +0800,31.198938,121.475045,上海市,,,卢湾区,,
100,H00003821,上海市黄浦区妇幼保健院  741,上海市中德医院,丽园路712号,021 63052000,200023,二级甲等,,0,2013-11-30 03:00:09 +0800,2015-02-17 17:39:11 +0800,31.206809,121.47846,上海市,,,卢湾区,,
101,H00003822,香山中医医院,上海市卢湾区香山中医医院,复兴中路526-528号,021 53061730,200020,二级甲等,37,3.84,2013-11-30 03:00:10 +0800,2015-02-17 17:39:11 +0800,31.215884,121.466522,上海市,,,卢湾区,,
102,H00003824,上海市嘉定区中医医院,上海市龙华中医医院集团嘉定医院,博乐路222号,021 39921068,201800,二级甲等,12,4.69,2013-11-30 03:00:10 +0800,2015-02-17 17:39:11 +0800,31.3824937,121.2544388,上海市,,,嘉定区,,
103,G92061932,,上海市嘉定区南翔医院,南翔镇众仁路495号,021 31273784,201802,二级甲等,10,3.33,2013-11-30 03:00:10 +0800,2015-03-05 16:01:14 +0800,31.2895522,121.3074189,上海市,,www.shnxhospital.com/,嘉定区,92061932,0
104,G92015498,,上海市嘉定区妇幼保健院,高台路1216号,021 67070000,201899,二级甲等,27,4.67,2013-11-30 03:00:11 +0800,2015-03-05 16:01:08 +0800,31.391375,121.245821,上海市,,http://www.jdfby.com/,嘉定区,92015498,0
105,G92015507,,上海市嘉定区安亭医院,安亭镇昌吉路204号,021 59579914,201805,二级乙等,20,4.45,2013-11-30 03:00:11 +0800,2015-03-05 16:01:30 +0800,31.2952596,121.1546846,上海市,,http://www.antinghospital.com/,嘉定区,92015507,0
