id,nom,nom_zh,prenom,prenom_zh,nationalite,sexe,descr_fr,descr_en,descr_zh,descr_ja,descr_de,enum( id_hosp ),",",enum( lang ),Hospitals They work in,,,
58,WU,吴,Mark,岳勳,au,M,,"Chair of Physical Medicine &amp; Rehabilitation, Physical Therapist
\

\
Degrees: BSc
\

\
Mark Wu received his Bachelor of Applied Science (Physiotherapy) from the University of Sydney in Australia, as well as a Bachelor of Applied Science (Chinese Medicine) from the University of Western Sydney. He has worked at several medical facilities throughout Australia, including Royal Newcastle Hospital, Hurstville Tower Medical Center, where he held the position of Chair of the Physical Therapist Department, and at Action Physiotherapy Clinic in Sydney, as a Physical Therapist and Acupuncturist. In 2007, he relocated to Shanghai where he has cared for patients at several medical clinics. Mr. Wu has 14 years of clinic experience with areas of strength including the musculoskeletal system and general post-surgical rehabilitation. He is a certified Physiotherapist of the State of New South Wales, Australia.","吴岳勳先生拥有澳大利亚悉尼大学的物理治疗学士学位和西悉尼大学的中医学位。
\

\
他曾任职于数家位于澳大利亚的医疗机构，其中包括皇家纽卡斯尔医院、Hurstville Tower医疗中心，以及Action理疗诊所。
\

\
2007年他来到中国，先后任职于数家上海的中外合资医疗机构。吴岳勳先生拥有约14年临床工作经验，擅长运动与骨科康复，外科术后康复，及疼痛治疗。除此之外，他还拥有管理多文化团队的经验，精通英语和中文。他现为澳大利亚国家认证的物理治疗师。
\
",,,183,REHAB,"zh,en",United Family Quankou Clinic,,,
59,THOMAS,,Sophie,,en,F,,"Sophie, the registered dietitian, specializes in dyslipidaemia, pediatrics,diabetes and obesity.\
- Bsc (Hons) Nutrition and Dietetics, Leeds Metropolitan University (Britain)\
- Registered Dietitian, Health Professionals Council (Britain)\
- Clinical Dietitian, Berkshire Healthcare Foundation Trust, Windsor (Britain)\
- Specializing in dyslipidaemia, pediatrics,diabetes and obesity",,\N,\N,44,POD,en,ParkwayHealth Hong Qiao Medical Center,,,
60,SIECK-SCHAUFELBERGER,,Annette,,de,F,,"Annette has over 20 years experience in physical therapy and is fluent in English and German.\
\
- Physiotherapy education, Bernd-Blindow School, Buckeburg (Germany)\
- Further training: manual therapy, vojta therapy, psychomotoric\
- Over 20 years experience in physical therapy",,\N,\N,44,POD,"en,de",ParkwayHealth Hong Qiao Medical Center,,,
61,MOREIRA,,Shaila,,br,F,,"Shaila received her BA in psychology from the Mackenzie Presbyterian University in Brazil. She has special interest in clinical psychology with children, teenagers and adults.\
\
- Clinical psychologist, Mackenzie Presbyterian University, Sao Paulo (Brazil)\
- Over 4 years of working experience\
- Specializing in clinical psychology with children, teenagers and adults\
- Counselor for German School in Brazil for over one and half years\
- Counseling experience with teenagers from different nationalities\
- Experience living abroad (11 years in Austria, 3 years in United States, 2 years in Holland and 10 years in Brazil)\
- Enjoys singing and playing guitar",,\N,\N,"44,144",PSYCHO,"en,pt,de","ParkwayHealth Hong Qiao Medical Center,ParkwayHealth Jin Mao Tower Medical Center",,,
62,MAO,茅,Kaili,凯黎,zh,\N,,"- Graduated from Shanghai NO.2 Medical University In 1989
\
- Received his Ph.D. in 2008 in Eastern University of Paris, France
\
- Foreign physician of urine surgery in Ke Shang Hospital Paris, France
\
- Direct assistant of Professor DEBRE
\
- Postdoctoral research in pathophysiology laboratory of Université Paris V.",茅凯黎博士 1989年毕业于上海第二医科大学，2008年在法国巴黎东部大学获得博士学位。目前在法国巴黎科尚医院泌尿外科挂职外籍主治医师，DEBRE教授主任助理，同时在巴黎第五大学病理生理实验室进行博士后研究。,\N,\N,73,URO,"zh,fr,en",Shanghai East Hospital South Campus,,,
63,DURAN MAHNERT,,Nichole,,us,F,,"Dr. Nichole Duran Mahnert is a member of American College of Obstetricians and Gynecologists and speaks fluent English and Spanish.\
\
- MD, University of Wisconsin School of Medicine and Public Health, Madison, Wisconsin (U.S.)\
- Residency: Obstetrics and Gynecology, Kaiser Permanente Santa Clara, Santa Clara, California (U.S.)\
- Member, American College of Obstetricians and Gynecologists (ACOG)\
- Consultant Physician, Red Leaf Asia Pacific Women’s Hospital, WorldPath Clinic International, Shanghai (China)\
- Physician, Kaiser Permanente Santa Clara Medical Center, Santa Clara, California (U.S.)",,\N,\N,44,GYN,en,ParkwayHealth Hong Qiao Medical Center,,,
64,LIN,林,Yei Hwei,雅惠,us,F,,"Dr. Lin specializes in preventive medicine and the illness of children. Dr. Lin is fluent in English, Japanese, Mandarin, and Taiwanese.
\

\
- Experience Medical School of Chiba University, Tokyo Women’s Medial School (Japan)
\
- Attending Physician, New York Hospital of Queens, New York (U.S.)
\
- Attending Physician, Flushing Hospital Medical Center, Flushing, New York (U.S.)
\
- Pediatrician, private practice, Flushing, New York (U.S.)
\
- U.S. Board-Certified in Pediatrics
\
- Fellow, American Academy of Pediatrics
\
- Residency: Pediatric Department, Chiba General Hospital, Tokyo (Japan), St. John’s Hospital, Catholic Medical Center, New York, Queens Hospital, New York, Flushing Hospital Medical Center, New York (U.S.)
\
- Specializing in preventive medicine and illness of children","林医师精于预防医学和儿童疾病防治，她在美国行医了34年，现已在上海工作了11年， 她可流利使用英语、日语、普通话和台语。
\

\
经验:
\
日本千叶大学医学院毕业，获日本职业医师执照
\
日本东京千叶综合医院儿科部、美国圣约翰医院、纽约天主教医疗中心及美国Flushing医院医疗中心、纽约Queens医院住院医师
\
获美国儿科医师鉴定职业医师
\
曾在美国纽约开设儿科私人诊所
\
美国Flushing医院医疗中心主治医师
\
美国儿科医学院院士
\
美国纽约医院Queens分院主治医师
\
在儿童疾病及其预防医学方面具有丰富的经验
\
",,,44,PED,"en,ja,zh",ParkwayHealth Hong Qiao Medical Center,,,
65,LIMPISVASTI,,Atipa,,us,M,,"Dr. Atipa Limpisvasti is our Chiropractor. He specializes in spinal injuries, sports medicine, rehabilitation and musculoskeletal injuries. He is fluent in English; conversant in Spanish and Thai.
\

\
- Bachelor of Science (Anatomy and Physiology), Macquarie University, Sydney (Australia)
\
- Masters of Chiropractic, Macquarie University, Sydney (Australia)
\
- Medical Coordinator, Asian X Games Shanghai (China) 2008‐2011
\
- Chiropractor, Chen Xin Hospital, Shanghai (China) 2007‐08
\
- Chiropractor, SMP Shanghai Showdown (China) 2007
\
- Chiropractor, Private Practice, Sydney (Australia) 2003‐07
\
- Chiropractic Consultant, Australian BMX High Performance Squad (Australia) 2006‐07
\
- Teaching Faculty, Department of Chiropractic, Macquarie University, Sydney (Australia) 2002‐07
\
- NSW, Australia Chiropractic Registration Board
\
- Specializes in spinal injuries, sports medicine, rehabilitation and musculoskeletal injuries","阿帝帕医师是脊椎指压治疗师，擅长颈部、背部疼通，运动医学，康复和肌骨骼损伤。他英语流利，并且能够用西班牙语和泰语进行会话。
\

\
经验:
\

\
澳大利亚悉尼市Macquarie大学理学士（解剖学及生理学）
\
澳大利亚悉尼市Macquarie大学脊椎指压治疗硕士
\
中国上海亚洲X 运动/世界极限运动医务总监 2008-2014
\
中国上海Chen Xin医院脊椎指压治疗师 2007‐08
\
中国上海SMP Showdown脊椎指压治疗师 2007
\
曾在澳大利亚悉尼市开设私人诊所 2003‐07
\
澳大利亚自行车越野赛脊椎指压治疗顾问 2006‐07
\
澳大利亚悉尼市Macquarie大学脊椎指压治疗指导老师 2002‐07
\
澳大利亚认证脊椎指压治疗注册委员会会员
\
擅长颈部、背部疼通，运动医学，康复和肌骨骼损伤
\
",,,"44,140",CHIROP,"es,en","ParkwayHealth Hong Qiao Medical Center,ParkwayHealth Gleneagles Medical and Surgical Center",,,
67,MATSUMOTO,,Junko,,ja,F,,"Junko Matsumoto has an experience not only in Japan but also in China. She focuses her practice on counseling for adults, adolescents and children. She is fluent in English and Japanese. She offers counseling in Japanese.\
\
- Japanese Certified Clinical Psychologist\
- Master in Clinical Psychology in Japan\
- Psychologist, Shanghai International Travel Medical Clinic (China)\
- School Counselor at Japanese school in Shanghai (China)\
- Psychologist, Education Center (Japan)\
- Psychologist, Prefectural Mental Health &amp; Welfare Center (Japan)\
- Psychologist, Health Care Center, Corporation (Japan)\
- Telephone Counselor, Counseling Center (Japan)",,\N,\N,44,PSYCHO,"ja,en",ParkwayHealth Hong Qiao Medical Center,,,
68,FELLIPPA,,Carmen Silvia,,br,F,,"Dr. Fellippa, ParkwayHealth’s physiotherapist, received her PhD in Neuroscience from the Pierre et Marie Curie University in Paris and her Master’s Degree in Neuroanatomy from the University of Rio Grande do Sul in Brazil. She specializes in neurology, orthopedics and traumatology.
\

\
- PhD in Neuroscience, Pierre et Marie Curie University, Paris (France)
\
- Master in Neuroanatomy, University of Rio Grande do Sul, Porto Alegre (Brazil)
\
- College Degree in Physiotherapy, University of Rio Grande do Sul, Santa Maria (Brazil)
\
- Self-Employed Physiotherapist and Neuro-Therapist Adviser, Shanghai (China)
\
- Professor, Department of Rehabilitation and Science Health Center, Federal University of Santa Maria, Rio Grande do Sul (Brazil)
\
- College Coordinator of Physiotherapy, Federal University of Santa Maria, Rio Grande do Sul (Brazil)
\
- Principal, Physiotherapy University Hospital
\
- Coordinator, Children Neurology and Re-education Centre
\
- Specializing in Neurology, Orthopedics and Traumatology",,,,"44,143,142",KINE,"pt,es,fr,en","ParkwayHealth Hong Qiao Medical Center,ParkwayHealth Jin Qiao Medical and Dental Center,ParkwayHealth's Specialty & Inpatient Center",,,
70,KIPPAX-CHUI,,Jane,,en,F,,"Jane, our physiotherapist from Britain, specializes in sport injuries, musculoskeletal problems, manipulation, strapping, pain management and acupuncture. 
\

\
- Qualified chartered physiotherapist
\
- Senior physiotherapist, Hammersmith Hospital London (Britain)
\
- Senior physiotherapist, Harley Street Clinic (Britain)
\
- Private practice, west London (Britain)
\
- Volunteers in Hong Kong and Shanghai (China)
\
- Senior physiotherapist, Sino-United Shanghai (China)
\
- Specializing in sport injuries, musculoskeletal problems, manipulation, strapping, pain management and acupuncture",,,,44,KINE,en,ParkwayHealth Hong Qiao Medical Center,,,
72,CHEN,陈,Lei,磊,us,M,,"Dr. Lei Chen was trained in New York. He has years of combined experience of Ob/Gyn practice in New York, Pennsylvania and Shanghai.
\

\
- Medical School, Jinan University Medical College (China)
\
- Graduate School, PhD. Program of Department of Microbiology, State University of New Jersey (U.S.)
\
- Residency, New York University Medical Center, New York (U.S.)
\
- Residency, Lutheran Medical Center, Brooklyn, New York (U.S.)
\
- Specialty Board, American Board of Obstetrics and Gynecology
\
- Certified in Advanced Cardiac Life Support and Neonatal Resuscitation Program
\
- OB-Gyn Practice, St. Mary’s Women’s Healthcare, Pennsylvania (U.S.)
\
- OB-Gyn Practice, American-Sino OB/Gyn/Peds Services, Shanghai (China)
\
- Over 10 years of experience in OB-Gyn
\
- Specialized in prenatal care, perinatal complications, labor and delivery; cancer screening and treatment; management of contraception, evaluation of infertility, STDs and abnormal uterine bleeding; minimal invasive endoscopy and major gynecologic surgeries","陈磊博士有多年在纽约、宾西法尼亚及上海妇科、产科行医诊疗的经验。
\

\
经验:
\
中国暨南大学医学院
\
美国新泽西州立大学微生物学博士研究生院
\
美国纽约大学医学院医疗中心住院医师
\
美国纽约布鲁克林信义会医疗中心住院医师
\
美国宾夕法尼亚州圣玛丽妇女健康中心妇产科医师
\
中国上海美华妇儿服务妇产科医师
\
10年以上的妇产科经验
\
专长优生优育诊断、围产期并发症治疗、分娩管理。擅长治疗各类妇科疾病，妇科癌症肿瘤筛查治疗，节育、不孕不育及月经不调诊疗，宫、腹腔微创妇科手术及妇科大手术
\
",,,"143,142",GYN,"en,hk,zh","ParkwayHealth Jin Qiao Medical and Dental Center,ParkwayHealth's Specialty & Inpatient Center",,,
73,DAI,戴,Sylvia,红梅,us,F,,"Dr. Dai has 20 years of experience in practicing OB/GYN. She has been working for international hospitals in Shanghai since 2005 and can provide OB/GYN service for women from different countries with fluent English and Mandarin. Her clinical expertise is pregnancy care, labor, delivery and high-risk pregnancies. She is also skilled in diagnosis and treating gynecological disease and surgeries.",戴医生从事妇产科临床工作20年，从2005年开始在上海国际医院工作，为来自不同国家的女性提供优质的医疗服务。戴医生擅长孕期保健、待产、分娩及高危孕产妇的处理，同时对妇科各例疾病的诊断治疗及手术操作有着丰富的临床经验，并能流利地使用英语和普通话与您交流。,,,148,GYN,"zh,en",Shanghai Redleaf Women’s Hospital,,,
74,HOCHMAN,,Mariela,,es,F,,"Dr. Mariela Hochman had clinic training in the USA and in Spain. She is board certified in Obstetrics and Gynecology in Argentina and Europe. Dr. Hochman has more than 15 years of international clinical experience.
\

\
- MD, University of Buenos Aires, School of Medicine, Buenos Aires (Argentina) and clinical training in the USA (Baylor College of Medicine, Houston) and Spain (University Hospital of Vall d´Hebron, Barcelona)
\
- Residency in Obstetrics &amp; Gynecology in Buenos Aires, Argentina
\
- Board Certified in Obstetrics and Gynecology in Argentina and Europe 
\
- More than 15 years of international clinical experience, 8 of these leading a prestigious private reproduction clinic in Barcelona, Spain. Worked at University Hospital Vall d´Hebron, Barcelona. Quiron Clinic. Teknon Clinic, Barcelona. CEFER, Barcelona.
\
- Consultant for pharmaceutical industry in subjects related to HPV, Cervical and Vulvar pathology.
\
- Specialized in reproductive medicine, general gynecology, HPV, Colposcopy, hormonal disarrangements.","玛丽拉医师毕业于阿根廷布宜诺斯大学医学院并在美国和西班牙进行临床培训。她获欧洲及阿根廷妇产科医学鉴定医师执照并有超过15年的国际临床经验。
\

\
经验:
\

\
- 获阿根廷布宜诺斯大学医学院医学博士并在美国和西班牙进行临床培训
\
- 阿根廷布宜诺斯妇产科住院医师
\
- 欧洲及阿根廷妇产科医学鉴定医师执照
\
- 超过15年的国际临床经验，其中在西班牙巴萨罗纳著名的私立生殖诊所任职8年，并在巴萨罗纳Quiron、Teknon 诊所及大学附属医院Vall d´Hebron工作
\
- 曾任与HPV、宫颈、外阴病理学相关的制药行业的顾问
\
擅长生殖医学，普通妇科，HPV，阴道镜，宫颈及外阴病理学，激素紊乱
\
",,,"44,140",GYN,"es,fr,en","ParkwayHealth Hong Qiao Medical Center,ParkwayHealth Gleneagles Medical and Surgical Center",,,","
75,LU-FERGUSON,吕,Michelle,明旭,us,F,,"MD, She is a Fellow of the American College of Obstetrics and Gynecology a Diplomate of the American Board of Obstetrics and Gynecology and is on the Registry of Diagnostic Medical Sonography in OB/GYN, She studied at Peking University, Peking Union Medical College and later at the New York University and the Medical College of Ohio. Dr. Lu-Ferguson worked for Department of Obstetrics, Gynecology, Reproductive Sciences and Infertility of Robert Wood Johnson Medical School-UMDNJ New Brunswick, New Jersey as a professor and clinical instructor. In 2005, Dr Lu-Feguson returned to China and joined the Parkway Medical group, heading the Women's care service for several years. She is experienced in all areas of women's health care and is able to assist women seeking pregnancy. Her clinical expertise is infertility, contraception, sexually transmitted diseases, cancer screening, diagnosis and treatment of abnormal uterine bleeding. She is skilled in performing minimally invasive surgery (Laparoscopy and hysteroscopy) and Ultrasonic examinations.",美国妇产科学院院士、美国妇产科注册执照医师、美国妇产科超声执照医师，先后就读于北京大学、北京协和医学院、美国纽约大学和美国俄亥俄医学院，获得医学硕士、医学博士学位。曾在新泽西医科大学妇产、生殖和不孕不育科担任临床指导教授和妇科超声波主任。在加入红枫之前担任百汇医疗中心担任妇产科主任。曾被提名为上海最佳外国医生奖。吕医生在女性医疗保健领域具有丰富而广泛的经验，擅长孕期保健，待产及分娩，不孕症，避孕，性传播疾病，癌症筛查、诊断及治疗，子宫异常出血，微创手术（腹腔镜检查及子宫镜检查）以及妇产科超声波检查。,,,148,GYN,"en,zh",Shanghai Redleaf Women’s Hospital,,,
76,HERNANDEZ,,Marina C.,,ph,F,,"Dr. Hernandez graduated from Perpetual Help College of Medicine, Philippines. She also holds Bachelor of Science in Biology from University of Santo Tomas, Philippines. She joined ParkwayHealth during 2009. She has over 9 years of experience in Pediatric Care and speaks fluent English and Tagalog.\
\
- Perpetual Help College of Medicine (Philippines)\
- Bachelor of Science in Biology, University of Santo Tomas (Philippines)\
- Residency in Pediatrics: Manila Doctors Hospital (Philippines)\
- Pediatric Consultant, St. Michael Hospital, Shanghai (China) 2008 - 09\
- Consultant, Metro Manila Animal Bite Clinic (Philippines) 2004 - 08\
- Co-investigator, Research Institute for Tropical Medicine (Philippines) 2002 - 08\
- Pediatric Consultant, Melijon Medical &amp; Pediatric Clinic (Philippines) 2002 - 08\
- Visiting Consultant, Pediatric Department, Manila Doctors Hospital (Philippines) 2000 - 08\
- Pediatric Consultant, Children’s Clinic (Philippines) 2000 - 08\
- Specializing in Anti-Rabies Pre and Post-Exposure Management",,\N,\N,44,PED,en,ParkwayHealth Hong Qiao Medical Center,,,
77,JIANG,蒋,Benran,本然,zh,F,,"Dr. Jiang is fluent in English and Mandarin. She specializes in general pediatrics and developmental medicine.
\

\
- Department of Pediatrics, University of Melbourne, Melbourne (Australia)
\
- Department of Pediatrics, Shanghai Jiaotong University School of Medicine (China)
\
- Honorary Fellow, Department of Developmental Medicine, the Royal Children’s Hospital, Melbourne (Australia)
\
- Attending Pediatrician, Shanghai Sixth People’s Hospital (China)
\
- Chief Resident, Department of Pediatrics, Shanghai Sixth People’s Hospital (China)
\
- Resident, Department of Pediatrics, Shanghai Sixth People’s Hospital (China)
\
- Over 10 years clinical experience in Pediatrics
\
- Specialization in General Pediatrics and Developmental Medicine","蒋本然医师擅长普通儿科和发展医学，她能讲流利的英语和普通话。
\

\

\

\
经验:
\
澳大利亚墨尔本大学医学博士
\
中国上海交通大学附属医学院医学博士
\
澳大利亚皇家儿童医院发展医学科名誉学士
\
中国第六人民医院儿科医师
\
中国第六人民医院儿科住院总医师
\
中国第六人民医院儿科住院医师
\
10年以上的儿科临床经验
\
擅长普通儿科和发展医学
\
",,,44,PED,"en,zh",ParkwayHealth Hong Qiao Medical Center,,,
78,KOHLBACHER,柯,Robert,宝博,us,M,,"Dr. Kohlbacher, Family Physician, specializes in Preventive Medicine and the Illness of Adults and Children. He is highly experienced in Pediatrics, Cardiac, Trauma Life Support, as well as an Emergency Medical Physician.
\

\
- University of Oklahoma (U.S.)
\
- U.S. Board-Certified in Family Medicine
\
- Certified in Pediatric, Cardiac and Trauma Life Support (U.S.)
\
- Diplomat, American Board of Family Practice
\
- Extensive experience in Emergency Medicine
\
- Specializing in preventive medicine and illnesses of adults and children","柯医师在儿童及成人医学、运动医学、旅游医学及预防医学方面有20多年的经验，他已在上海行医超过13年。
\

\
经验:
\
美国奥克拉马大学硕士
\
获美国家庭医学职业医师执照
\
儿科、心脏创伤生命支持注册医师
\
美国家庭医学学会会员
\
在急救医疗方面具有丰富的经验
\
擅长儿童及成人医学、运动医学、旅游医学及预防医学
\
",,,44,GEN,en,ParkwayHealth Hong Qiao Medical Center,,,
