code,baiji_shop_id,tcv_id,official_name,common_name,drug_format,size,approval_number,department_name,drug_type,member_price,sale_price,company,rx_otc,composition,indications,usage,warning,adverse_reactions,storage_type,link,picture
231928,8623,,七味铁屑丸,七味铁屑丸,丸剂,1g*20丸,国药准字Z54020097,肝病,肝病-中成药,55,58,西藏藏医学院藏药有限公司,RX处方登记,铁屑（诃子制）、北寒水石（奶制）、藏木香、木香、甘青青兰、红花、五灵脂膏,行气活血，平肝清热止痛。用于肝区疼痛，肝脏肿大,,,,密封,http://www.baiji.com.cn/goods-8623.html,http://imgcdn.baiji.com.cn/images/201207/thumb_img/8623_thumb_G_1343382754926.jpg
230865,6472,,七宝美髯丸,七宝美髯丸,丸剂,6g*10袋,国药准字Z11020015,皮肤科,皮肤科-脱发用药,19,19.5,北京同仁堂天然药物(唐山)有限公司,RX处方登记,制何首乌、当归、补骨脂（盐水炙）、枸杞子、菟丝子、茯苓、牛膝。,补肝肾，益精血。用于肝肾两虚，须发早白，牙齿摇动，遗精盗汗，腰酸带下，筋骨痿弱，腰腿酸软，带下清稀。,淡盐汤或温开水送服。一次1袋（6g），一日2次。,过敏体质者慎用。,,密封,http://www.baiji.com.cn/goods-6472.html,http://imgcdn.baiji.com.cn/images/201403/thumb_img/6472_thumb_G_1395800868378.jpg
237668,9655,,七鞭回春乐胶囊,七鞭回春乐胶囊,胶囊剂,0.3g*18粒/板*2板,国药准字Z22023192,泌尿科,泌尿生殖系统-性功能调节药,48,54,通化振霖药业有限责任公司,RX处方登记,鹿肾（制）、羊肾（制）、驴肾（制）、刺猬皮（制）、貂肾（制）、枸杞子、狗肾（制）、山药、牛肾（制）、制何首乌、马肾（制）。,补肾壮阳。用于肾虚阳萎，滑精早泄，性功能减退。,,,,密封,http://www.baiji.com.cn/goods-9655.html,http://imgcdn.baiji.com.cn/images/201312/thumb_img/9655_thumb_G_1387271118954.JPG
122322,7190,,万乐,乌苯美司片,片剂,10mg*12片,国药准字H20090287,肿瘤,抗肿瘤药-辅助药-免疫调节,109,124,国药集团川抗制药有限公司,RX处方登记,乌苯美司,本品可增强免疫功能，用于抗癌化疗、放疗的辅助治疗，老年性免疫功能缺陷等。,成人，一日30mg，一次（早晨空腹口服）或分3次口服；儿童酌减，或遵医嘱。如症状缓解，可每周服用2-3次。,未进行该项实验且无可靠参考文献。,偶有皮疹、瘙痒、头痛、面部浮肿和一些消化道反应，如恶心、呕吐、腹泻、软便。个别服用者可出现转氨酶[AST(GOT)·ALT(GPT)]升高，均属轻度，一般在口服过程中或停药后消失。  日本对2164例用药者（上市前考察939例，上市后考察1225例）的不良反应进行统计，本品的不良反应及临床实验室检查值异常的发生率约为4.2%，不良反应发生率仅为2.3%，主要为肝功能损害异常[AST(GOT)·ALT(GPT)]上升约占1.8%，皮肤异常（出疹、发红、瘙痒感等）约为1.3%、消化道异常（恶心、呕吐、食欲不振等）约为0.9%。  肝脏：AST(GOT)上升、ALT(GPT)上升：不足0.1-5%  皮肤：出疹、发红、瘙痒感：不足0.1-5%；脱毛：不足0.1%。  消化器官：恶心、呕吐、食欲不振、腹痛：不足0.1-5%；腹部饱胀感、腹泻：不足0.1%。  精神神经系统：头痛：不足0.1-5%；颤抖感、麻痹感：不足0.1%。  其他：口腔内异样感：不足0.1-5%；浮肿：不足0.1%。,密封,http://www.baiji.com.cn/goods-7190.html,http://imgcdn.baiji.com.cn/images/pic15/100/122322_1_2.jpg
190131,8991,,万他维,吸入用伊洛前列素溶液,气雾剂,2ml:20μg,国药准字J20070001,心脑血管,心脑血管系统-其它降压药,500,550,先灵(广州)药业有限公司,RX处方登记,伊洛前列素,治疗中度原发性肺动脉高压。,成人 每次吸入应从2.5微克开始 (吸入装置中口含器所提供的剂量)。可根据不同患者的需要和耐受性逐渐增加伊洛前列素剂量至5.0微克。根据不同患者的需要和耐受性，每天应吸入伊洛前列素6-9次。根据口含器与雾化器所需的药物剂量，每次吸入时间大约应为5-10分钟。肾功能或肝功能不全患者 肝功能异常以及肾功能衰竭需要血液透析的患者，伊洛前列素的清除率是降低的，应考虑减少用药剂量（参见[注意事项]以及[药代动力学]）。儿童以及青少年（18岁以下）目前还没有在儿童或青少年中应用的经验。除非有资料支持，否则本药不能应用于18岁以下的患者（参见[注意事项]）。疗程 ：长期治疗。雾化器的使用 ：如果某种雾化器能达到下列标准，则认为它适用于本药溶液的雾化 ：液滴的中位空气动力学直径（MMAD）或中位直径（MMD）为 3-4 m ；口含器输出剂量为 ：每次吸入伊洛前列素2.5或5 ug；一个剂量为2.5或5 ug伊洛前列素的雾化时间 ：大约为4-10 分钟（为了避免全身性副作用，4分钟内输出的伊洛前列素不得超过5 ug）。为了尽可能减少意外暴露，吸入伊洛前列素时推荐使用装有过滤器或吸入触发装置的雾化器，并保持房间的良好通风。将准备好的溶液用适当的设备（雾化器）吸入。继续以往的治疗并作个体化调整（参见[药物相互作用]）。,对于体循环压力较低的患者（收缩压低于85 mmHg），不应当开始本药治疗。应注意监测以避免血压的进一步降低。对于急性肺部感染，慢性阻塞性肺疾病，以及严重哮喘的患者应作密切监测。对于能够进行外科手术的栓塞性肺动脉高压患者不应首选本药治疗。有晕厥史的肺动脉高压患者应避免一切额外的负荷和应激，如运动过程中。如果晕厥发生于直立体位时，每天清醒但未下床时吸入首剂药物是有帮助的。如果晕厥的恶化是由基础疾病所造成，应考虑改变治疗方案。肝功能异常患者，肾功能衰竭需要血液透析的患者，伊洛前列素的清除均是降低的，因此应考虑减低剂量（参见[用法用量]以及[药代动力学]）。,除了由于吸入用药的局部不良反应如咳嗽加重外，吸入伊洛前列素的不良反应主要与前列环素药理学特性有关。临床试验中最常见的不良反应包括血管扩张，头疼以及咳嗽加重。非常常见的不良反应(100位患者中可能有10或者更多的人出现下述情况) ：因血管扩张而出现潮热或者面部发红 ；咳嗽增加 ；血压降低（低血压）。常见不良反应（100位患者中可能有1-10人出现下述情况）：头痛 ；颊肌痉挛（口腔开合困难） ；晕厥 ：晕厥是该疾病的一种常见症状，临床试验中伊洛前列素治疗组与对照组晕厥的发生率无明显差异，但是也可能在使用本药时发生，请参见注意事项部分。其他可能的反应 ：如果患者服用抗凝剂(抗凝血剂)，也许会发生微量的出血。由于大部分肺动脉高压患者服用抗凝药物，常见出血事件（大部分为血肿）。伊洛前列素组出血事件的发生频率与安慰剂对照组相比无明显差异。,"密闭,避光保存",http://www.baiji.com.cn/goods-8991.html,
190261,8992,,万他维(吸入用伊洛前列素溶液),吸入用伊洛前列素溶液,其他制剂,2ml:20ug*5支,国药准字J20100134,心脑血管,心脑血管系统-其它降压药,2750,2750,拜耳医药保健有限公司广州分公司,RX处方登记,0,0,,,,"密闭,避光保存",http://www.baiji.com.cn/goods-8992.html,
122393,6029,,万仪,奥卡西平片,片剂,0.3g*20片,国药准字H20040192,神经和肌肉系统,神经和肌肉系统-抗癫痫和抗惊厥药,40,42,武汉人福药业有限责任公司,RX处方登记,奥卡西平,适用于成人癫痫部分发作病例的单独治疗或辅助治疗。也适用于4-16岁儿童癫痫部分发作病例的辅助治疗。,本品适合于单独或与其它的抗癫痫药联合使用。在单药治疗和联合用药中，本品应该从临床有效剂量开始用药，1天内分为2次给药。根据病人的临床反应增加剂量。如果本品与其它抗癫痫药联合使用，由于病人总体的抗癫痫药物剂量的增加，需要减少其它抗癫痫药的剂量或/和更加缓慢的增加本品的剂量。本品可以空腹或与食物一起服用。对没有肾功能损害的病人，推荐治疗剂量如下所示。奥卡西平药代动力学的特点是不需要监测血药浓度从而使本品治疗更加方便。成人 - 单药治疗：用本品治疗，起始剂量可以为一天600mg（8-10mg/kg/天），分2次给药。为了获得理想的效果，可以每隔1个星期增加每天的剂量，每次增加剂量不要超过600mg。每日维持剂量范围在600-2400mg之间，绝大多数病人对每日900mg的剂量即有效果。,对奥卡西平片过敏的病人，在使用奥卡西平片治疗过程中，也可能发生过敏反应（如严惩的皮肤反应）。卡马西平和奥卡西平的交叉过敏反应率为25-30%，可达2.7%的病人使用本品治疗时，血清钠会下降到125mmol/l以下，但常常没有临床症状，并不需要改变治疗。如果考虑临床干预，来自临床试验的经验显示，减少或者停用本品，或者对病人采取保守治疗（例如，减少液体的摄入），血清钠水平都会回到正常基线以上。下以情况需注意：有肾脏疾病并需要摄入大量液体的病人；有低钠血症的病人；同时使用参降低血钠水平的药物治疗的病人，在开始用本品前应该测定血清钠水平，开始治疗以后大约两周测定血清的水平，然后，治疗的前三个月中，每隔一月。另外，测定血清钠水平可以作实验室监测指标的一部分。  心衰的病人定期进行体重监测，以确定是否有液体潴留。  有关肝炎的病例报道非常罕见，且在大多数病例中，疾病的自然病程良好。如果理由怀疑肝功能有害，应进行检查，考虑终止本品的治疗。,在临床试验中，大多数的不良反应是轻到中度，并且是一过性的，主要发生在治疗的开始阶段。对每个系统不良反应特性的评价是依照本品临床试验中出现的不良事件。另外，也加入了在有效病例延续治疗项目中的重要临床不良反应报告和上市后的报告。  按照CIOMSIII分类估计的不良反应发生频率：很常见≥ (greater than or equal to) 10% ；常见1-10% ；少见0.1-1% ；罕见0.01-0.1% ；非常罕见<0.01%。,"密闭,避光保存",http://www.baiji.com.cn/goods-6029.html,http://imgcdn.baiji.com.cn/images/201312/thumb_img/6029_thumb_G_1386838212220.JPG
122231,5997,,万全力太,利鲁唑片,片剂,50mg*24片,国药准字H20073149,神经和肌肉系统,神经和肌肉系统-治疗神经肌肉疾病用药,618,650,万特制药(海南)有限公司,RX处方登记,利鲁唑,用于肌萎缩侧索硬化症患者的治疗，可延长存活期或推迟气管切开的时间。,口服，一次50mg(1片)，一日2次。增加每日给药剂量不会增加药效，但增加不良反应。如漏服一次，按原计划服用下l片。应在餐前1小时或餐后2小时服药，以降低食物对利鲁唑生物利用度的影响。,肝脏疾病患者慎用，应定期检查肝功能。如首有肝脏疾患请告知医师，因为本品可能不适合您。服用本药时应禁止过度饮酒。可能发生白细胞(具有重要的抗感染作用)计数减少。如果有任何发热现象(体温升高)，须立即与医生联系。如有任何肾脏疾患，请告知医师。服用本品后如感到眩晕或头晕，不应驾驶或操作机器。,本品常见的不良反应为疲劳、胃部不适，及血浆转氨酶水平升高。其他不良反应较少见。偶见嗜中性粒白细胞减少症。本品可能产生未在此列出的其它不良反应。如在您服用本品时健康状况发生任何变化，请告知您的医师或药师。 ,密封，置阴凉处,http://www.baiji.com.cn/goods-5997.html,http://imgcdn.baiji.com.cn/images/201410/thumb_img/5997_thumb_G_1413425928630.jpg
190132,9463,,万托林（原名：全乐宁）,吸入用硫酸沙丁胺醇溶液,气雾剂,20ml:100mg,注册证号H20090087,肿瘤,抗肿瘤药-呼吸用药,64.6,64.6,Glaxo Operations UK Limited,凭原处方销售,硫酸沙丁胺醇,对传统治疗方法无效的慢性支气管痉挛的常规处理，及治疗严重的急性哮喘。,雾化吸入液 采用呼吸器或喷雾器给药，切不可注射或口服。间歇性用法 可每日重复4次。成人 ： 0.5-1.0 mL本品(2.5-5.0 mg硫酸沙丁胺醇)应以注射用生理盐水稀释至2.0-2.5 mL。稀释后的溶液由病人通过适当的驱动式喷雾器吸入，直至不再有气雾产生为止。如喷雾器和驱动装置匹配得当，则喷雾可维持约10分钟。本品可不经稀释而供间歇性使用，为此，将2.0 mL本品(10 mg硫酸沙丁胺醇)置入喷雾器中，让病人吸入化雾的药液，直至支气管得到扩张为止，通常约需3-5分钟。有些成年人需用较高剂量的硫酸沙丁胺醇，剂量高达10 mg，在此情况下，应不断吸入未经稀释的溶液所化成之气雾，直至喷雾停止产生。儿童 同样的间歇给药方式也适用于儿童病人。12岁以下儿童的常用剂量为0.5 mL(2.5 mg硫酸沙丁胺醇)，施用时用注射用的生理盐水稀释至2.0-2.5 mL，有些儿童可能需要高达5.0 mg的剂量。还没有18个月以下的婴孩吸用本药的临床效用资料，短暂的低氧血症可能发生，因此应考虑给予吸氧治疗。连续性用法 将本药1-2 mL溶于注射用生理盐水100 mL中稀释，使每毫升含50-100 ug沙丁胺醇。稀释后的溶液采用喷雾器以气雾方式给药，常用的给药速率是1-2 mg/小时。气雾的传送可用面罩、T形装置或经由气管内的导管进行。间歇性的正压换气法可以采用，但甚少需要如此。当因肺换气不足而有缺氧的危险时，应在吸入的空气中加入氧气。,增加使用吸入的短效β2-受体激动剂以控制症状，显示对哮喘的控制力衰减，若有此情况出现，应重新评估对病人的治疗方法。对哮喘的控制力突然和逐渐衰减，病人的生命可能有危险，应考虑开始施行或增加皮质类固醇治疗。若病人有此危机，应施行每天最高流速的监测。在家中接受本品治疗的病人宜注意，若舒缓效用或持续时间比平常减少，则不应自行增加剂量或给药之次数。对于已知使用大剂量的其他拟交感神经药物的病人，宜慎用本品。对患有甲状腺机能亢进的病人亦宜慎用。曾有少数个案报道指出，若一同给予本品喷雾及异丙托溴铵-氢喷雾治疗会引致急性闭角型青光眼，所以一同使用本品喷雾剂及抗胆碱能药喷雾时应小心注意，更应警告切勿使喷雾剂或溶液进入眼内。β2受体激动剂治疗(主要用注射剂及气雾剂)有可能引致严重的低钾血症，若病者所患的是急性严重哮喘，尤须注意此不良效应，因为同时服用黄嘌呤诱导药，类固醇和利尿药，以及出现缺氧情况，均会使血钾过低情况加重，遇有此等情况，必须小心监控血清钾水平。,骨骼肌肉可能有轻微震颤现象，通常手部较为明显。服用β-肾上腺素受体激动剂的病人一般有此症状。偶见有头痛的病例报告。有些病人可能会有外周血管舒张及轻微的代偿性心率加速的情况发生。肌肉痉挛症状亦曾有报告，但十分罕有。过敏反应包括血管神经性水肿、荨麻疹、支气管痉挛、低血压、虚脱等病例亦曾有报告，但十分罕有。正如使用其他吸入治疗法一样，给药后可能会立刻引起反常性支气管痉挛及增加有响声地呼吸，应立即给予另一类含有此药物成分的制药，或一个不同的有快速缓解效用支气管扩张剂，若有此症状，应即时停止吸用本药，评估病人的状况及改用其他治疗。正如其他β2-受体激动剂治疗一样，儿童使用本药而致活动过强的病例亦曾有报告，但十分罕见。吸入本品可能会引起口部和咽喉疼痛。有些病人可能会有心动过速的情况出现。,密封，置阴凉处,http://www.baiji.com.cn/goods-9463.html,http://imgcdn.baiji.com.cn/images/201307/thumb_img/9463_thumb_G_1372918429810.jpg
190150,7491,,万托林（原名：喘乐宁）,硫酸沙丁胺醇吸入气雾剂,气雾剂,100μg*200揿,国药准字J20110040,肿瘤,抗肿瘤药-呼吸用药,,38,Glaxo Wellcome Production,凭原处方销售,硫酸沙丁胺醇,支气管哮喘、喘息型支气管炎及肺气肿等。,缓解发作多用气雾吸入，而预防发作则可口服给药。  口服：成人2mg～4mg/次，3次/日；小儿每次0.1mg～0.15mg/kg，2～3次/日。  控释片：8mg/次，2次/日。  气雾吸入：每次0.1～0.2mg(即1～2喷)，必要时可每4h重复1次，但24h内不宜超过6～8次。,心血管功能不全、高血压、甲亢、糖尿病及妊娠患者慎用。增加使用吸入的短效b2- 受体激动剂以控制症状，显示对哮喘的控制力衰减，若有此情况出现，应重新评估对病人的治疗方法。,,密封，置阴凉处,http://www.baiji.com.cn/goods-7491.html,
121238,8387,,万爽力,盐酸曲美他嗪片,片剂,20mg*30片,国药准字H20055465,心脑血管,心脑血管系统-抗心绞痛药,54.5,54.5,施维雅(天津)制药有限公司,RX处方登记,盐酸曲美他嗪,心绞痛发作的预防性治疗。眩晕和耳鸣的辅助性对症治疗。,20mg，tid，餐前服用。,动物实验没有提示致畸作用；但是由于缺乏临床资料，致畸的危险不能排除。因此，从安全的角度考虑，最好避免在妊娠期间服用该药物。由于缺乏通过乳汁分泌的资料，建议治疗期间不要哺乳。,极少数患者有胃肠不适（恶心、呕吐）。,密封，置阴凉处,http://www.baiji.com.cn/goods-8387.html,http://imgcdn.baiji.com.cn/images/201211/thumb_img/8387_thumb_G_1353392548279.jpg
